食物,热量,链接
烧鸡腿,热量：172 大卡(每100克),http://www.boohee.com/shiwu/shaojitui
花菜炒肉，又叫花菜炒肉、菜花炒肉、肉片炒花菜,热量：83 大卡(每100克),http://www.boohee.com/shiwu/roupianchaocaihua
酸菜鱼，又叫酸汤鱼、酸辣鱼、酸菜鱼、酸辣鱼汤,热量：77 大卡(每100克),http://www.boohee.com/shiwu/suancaiyu
红烧豆腐，又叫自磨豆腐,热量：90 大卡(每100克),http://www.boohee.com/shiwu/hongshaodoufu
炒白菜,热量：30 大卡(每100克),http://www.boohee.com/shiwu/chaobaicai
清蒸大闸蟹，又叫蒸螃蟹、大闸蟹、蒸大闸蟹、清蒸螃蟹,热量：149 大卡(每100克),http://www.boohee.com/shiwu/qingzhengdazhaxie
蔬菜沙拉，又叫沙拉、蔬菜,热量：39 大卡(每100克),http://www.boohee.com/shiwu/shucaishala
炒土豆丝,热量：99 大卡(每100克),http://www.boohee.com/shiwu/chaotudousi
红烧肉,热量：287 大卡(每100克),http://www.boohee.com/shiwu/hongshaorou
凉拌黄瓜，又叫拍黄瓜、拌青瓜、拌黄瓜,热量：42 大卡(每100克),http://www.boohee.com/shiwu/qingbanhuanggua
清炒芹菜，又叫马家沟芹菜、素炒芹菜,热量：39 大卡(每100克),http://www.boohee.com/shiwu/suchaoqincai
